dataset,library,n_fusions
human_antiEGFR,KRAS_organoids_antiEGFR_1,30
human_antiEGFR,KRAS_organoids_antiEGFR_2,30
human_antiEGFR,KRAS_organoids_antiEGFR_3,21
human_antiEGFR,KRAS_organoids_ctrl_1,30
human_antiEGFR,KRAS_organoids_ctrl_2,23
human_antiEGFR,KRAS_organoids_ctrl_3,43
human_bile,organoid_CA_1,17
human_bile,organoid_CA_2,17
human_bile,organoid_CA_3,23
human_bile,organoid_GCA_1,33
human_bile,organoid_GCA_2,25
human_bile,organoid_GCA_3,42
human_bile,organoid_TCA_1,12
human_bile,organoid_TCA_2,22
human_bile,organoid_TCA_3,24
human_bile,organoid_ctrl_1,27
human_bile,organoid_ctrl_2,16
human_bile,organoid_ctrl_3,23
mouse_ifn,IFN_1,166
mouse_ifn,IFN_2,146
mouse_ifn,IFN_3,151
mouse_ifn,ctrl_1,133
mouse_ifn,ctrl_2,186
mouse_ifn,ctrl_3,178
