fusion_pair,found_in
ACOT11::UFD1-AS1,antiEGFR_only
AGO2::TRAPPC9,antiEGFR_only
ANKRD13C-DT::CTH,antiEGFR_only
ATP11B::FBRSL1,antiEGFR_only
C8orf58::DMTN,antiEGFR_only
CPNE4::ACP3,antiEGFR_only
DDHD1-DT::THAP4,antiEGFR_only
DEGS2::EVL,antiEGFR_only
ENSG00000225680::THAP4,antiEGFR_only
ENSG00000227619::NTMT1,antiEGFR_only
ENSG00000272328::TAB3,antiEGFR_only
ENSG00000289163::TRPM3,antiEGFR_only
ENSG00000301402::TSPAN12,antiEGFR_only
ENSG00000303348::EBF2,antiEGFR_only
ENSG00000305455::ENSG00000303341,antiEGFR_only
ESYT1::ENSG00000229167,antiEGFR_only
ESYT1::LINC01226,antiEGFR_only
FA2H::FA2H,antiEGFR_only
GTF2I::MTND1P23,antiEGFR_only
INTS1::INTS1,antiEGFR_only
KANK1::DMRT1,antiEGFR_only
KIFC3::MARCHF6,antiEGFR_only
LINC00115::ENSG00000272438,antiEGFR_only
LINC00115::ENSG00000298603,antiEGFR_only
LINC02794::SLC5A9,antiEGFR_only
MEAK7::ATP2C2,antiEGFR_only
MECP2::FLNA,antiEGFR_only
MIR4432HG::SYN3,antiEGFR_only
MIR4713HG::GLDN,antiEGFR_only
PHF6::ENSG00000293232,antiEGFR_only
RAPH1::NBEAL1,antiEGFR_only
RUNX3::ENSG00000293733,antiEGFR_only
RWDD3::TLCD4-RWDD3,antiEGFR_only
SORBS1::SORBS1,antiEGFR_only
SPC24::KANK2,antiEGFR_only
SYN3::MIR4432HG,antiEGFR_only
WASH6P::WASH6P,antiEGFR_only
ZNF292::ZNF292,antiEGFR_only
