fusion_pair,found_in
AHDC1::HIVEP3,CA_only
B3GALNT2::MTA2,CA_only
CAMKMT::PIGF,CA_only
ENSG00000213981::MYO3B,CA_only
ENSG00000295365::KAT7P1,CA_only
ENSG00000296907::SULT1C3,CA_only
RC3H1::COP1,CA_only
SLC35E2B::GPR35,CA_only
TRA2B::LPP,CA_only
UBE2G2::AGPAT3,CA_only
USP6NL::GRID1,CA_only
ARSD::XG,GCA_only
BSG::ENSG00000278996,GCA_only
CLDN12::YLPM1,GCA_only
ENSG00000225339::MYL6B,GCA_only
ENSG00000232006::COPS4,GCA_only
ENSG00000273308::PDCD6,GCA_only
ENSG00000289750::LSM3,GCA_only
ENSG00000290683::ZNF670-ZNF695,GCA_only
ENSG00000290683::ZNF695,GCA_only
ENSG00000296907::PDS5B,GCA_only
EXOC5::N4BP2L2,GCA_only
FBRSL1::NOC4L,GCA_only
GNG4::ENSG00000282885,GCA_only
HAUS6::ENSG00000280441,GCA_only
HES6::GCLC,GCA_only
HES6::GCLC-AS1,GCA_only
MAD2L2::FBXO44,GCA_only
MRPS25::LSM3,GCA_only
ORC5::PUS7,GCA_only
PDCD10::FXR1,GCA_only
PDE4D::NDUFAF2,GCA_only
PIK3CB::U2SURP,GCA_only
PITX2::PANCR,GCA_only
PLEKHA8P1::ANAPC5,GCA_only
PPP1R9A::SEM1,GCA_only
PSD3::SH2D4A,GCA_only
PSMB10::ZNF652,GCA_only
PURA::ENSG00000254363,GCA_only
PUS7::ORC5,GCA_only
RPL23::ENSG00000293668,GCA_only
RPL23::ENSG00000294557,GCA_only
RPL23::LINC00486,GCA_only
SDF4::COX4I2,GCA_only
SEMA5A::PRPF38B,GCA_only
SETD1B::SETD1B,GCA_only
SETD5::DUSP1,GCA_only
SNHG29::DNAJC15,GCA_only
SRSF9::CCZ1,GCA_only
STAG3L4::ENSG00000290951,GCA_only
STAG3L4::STAG3L1,GCA_only
SYBU::EIF3E,GCA_only
UCK2::IL20RA,GCA_only
WSB1::PBX1,GCA_only
ZNF731P::ZNF670-ZNF695,GCA_only
ZNF731P::ZNF695,GCA_only
ANKRD27::ENSG00000267059,TCA_only
ANKRD27::MBD3,TCA_only
BTBD2::SBNO2,TCA_only
ENSG00000271793::RNF149,TCA_only
GUSBP11::GUSBP11,TCA_only
LYPD6B::YTHDC1,TCA_only
NPIPB5::ENSG00000290674,TCA_only
PTPRB::UACA,TCA_only
SLC25A25-AS1::SLC25A25-AS1,TCA_only
SNHG5::RNF149,TCA_only
XG::ARSL,TCA_only
ZMIZ1::ENSG00000298616,TCA_only
ANO9::GABPB1,ctrl_only
ATP6AP2::KIF21A,ctrl_only
EDRF1-DT::SELENOW,ctrl_only
ENSG00000224322::HIBADH,ctrl_only
ENSG00000259080::PAFAH1B1,ctrl_only
FKBP4::SIGIRR,ctrl_only
GMDS-DT::ENSG00000285603,ctrl_only
HEXIM1::TMEM230,ctrl_only
HEXIM2-AS1::TMEM230,ctrl_only
IMP3::ENSG00000236212,ctrl_only
KRTCAP2::LRRC8D,ctrl_only
MKI67::ENSG00000291003,ctrl_only
MKI67::HERC2P2,ctrl_only
MYO5C::RNPC3,ctrl_only
PHB2::ENSG00000304777,ctrl_only
SEC11A::MMAB,ctrl_only
SEM1::SLC25A13,ctrl_only
SORBS1::ENSG00000305675,ctrl_only
THRB::SMIM15,ctrl_only
TOP1::TOP1,ctrl_only
UPF3A::STK24,ctrl_only
WASH6P::WASH6P,ctrl_only
ZMIZ1::PLCE1-AS2,ctrl_only
ZNF512::PAFAH1B1,ctrl_only
ABI1::ENSG00000285884,shared_by_all
ARHGAP12::KIF5B,shared_by_all
ARHGAP45::BTBD2,shared_by_all
BLVRA::ENSG00000294733,shared_by_all
BPTF::BPTF,shared_by_all
CAMK2G::WAPL,shared_by_all
GMDS::GMDS-DT,shared_by_all
KNTC1::LINC01411,shared_by_all
LARP1B::GALNT7,shared_by_all
POLR2E::STK11,shared_by_all
SEC61A2::SORBS1,shared_by_all
TRIT1::BMP8B,shared_by_all
ZMIZ1::PLCE1,shared_by_all
