fusion_pair,found_in
1700018A04Rik::Akap14,IFN_only
4930459C07Rik::Nenf,IFN_only
Arl15::Oasl2,IFN_only
Bcat2::Ccdc192,IFN_only
Bmpr2::Fam117b,IFN_only
Capn7::Capn7,IFN_only
Cldn11::Plekhh2,IFN_only
Dock11::Lin7c,IFN_only
Dpp7::Gm67971,IFN_only
ENSMUSG00000134219::Gm72114,IFN_only
Eaf1::2010110K18Rik,IFN_only
Eaf1::Cdc25c,IFN_only
Efcab2::Gm45883,IFN_only
Efl1::Baiap2l1,IFN_only
Fes::Smarca5,IFN_only
Gatad1::Cbx1,IFN_only
Gbp2::Gbp2b,IFN_only
Gfod1::Sirt5,IFN_only
Gm11318::Gm69618,IFN_only
Gm13657::Oasl2,IFN_only
Gm23708::Baiap2l1,IFN_only
Gm26510::Noct,IFN_only
Gm26782::Igkv17-134,IFN_only
Gm28363::Eya3,IFN_only
Gm28376::Gprc5a,IFN_only
Gm29676::Eya3,IFN_only
Gm30589::Nenf,IFN_only
Gm30735::Map1a,IFN_only
Gm35507::Cd53,IFN_only
Gm38025::Gm40241,IFN_only
Gm49361::Ska3,IFN_only
Gm51627::Plekhm3,IFN_only
Gm53567::Gm59831,IFN_only
Gm5622::Gm4181,IFN_only
Gm56608::Tiam1,IFN_only
Gm60484::Zbtb46,IFN_only
Gm60671::Ndufv2,IFN_only
Gm60712::Lect2,IFN_only
Gm61287::Gm56599,IFN_only
Gm61649::Lect2,IFN_only
Gm62216::Rab31,IFN_only
Gm63984::Fut9,IFN_only
Gm67332::Gm34829,IFN_only
Gm67338::Akap14,IFN_only
Gm67338::Micu1,IFN_only
Gm67338::Zfp831,IFN_only
Gm67676::Afg2a,IFN_only
Gm69065::Gm11260,IFN_only
Gm72061::Oasl2,IFN_only
Gm73718::Gm14848,IFN_only
H2-Q6::Gm22302,IFN_only
H2-T23::Cyb5a,IFN_only
Hhipl1::Sbno1,IFN_only
Htd2::Plekhh3,IFN_only
Ifi208::Wdr70,IFN_only
Jdp2::Akt2,IFN_only
Lats1::Ppil4,IFN_only
Lats2::Ska3,IFN_only
Mast2::Trappc8,IFN_only
Mctp1::Gm65705,IFN_only
Mrgprx2::Gprc5a,IFN_only
Nars2::Nars2,IFN_only
Ncor1::Fbxw10,IFN_only
Ncor2::Arhgap24,IFN_only
Noct::Eya3,IFN_only
Noct::Wapl,IFN_only
Nsmce2::Gm63059,IFN_only
Nup98::Hook2,IFN_only
Or4c112::Gm69977,IFN_only
Phactr4::Taf12,IFN_only
Pkdcc::Gm58903,IFN_only
Pld3::Iqgap1,IFN_only
Polr2a::Smg6,IFN_only
Ppip5k2::4930503L19Rik,IFN_only
Rab10os::Plaa,IFN_only
Rab31::Sprr2a2,IFN_only
Resf1::Uggt1,IFN_only
Rims2::Ptpmt1,IFN_only
Rpp14::Plekhh3,IFN_only
Slc4a7::Tank,IFN_only
Snhg8::Tcf12,IFN_only
Sntg1::Ly6e,IFN_only
Sp140l2::Sp110,IFN_only
Stxbp1::Eng,IFN_only
Sugt1::Psmb3,IFN_only
Tcf4::Commd10,IFN_only
Tedc1::Gm6621,IFN_only
Thsd4::Gm74311,IFN_only
Thsd4::Spaar,IFN_only
Trav6d-4::Gipc2,IFN_only
Trav6d-4::Gkn1,IFN_only
Trav6d-4::Mvb12a,IFN_only
Trerf1::Fbln2,IFN_only
Trio::Ptpn9,IFN_only
Tspan5::Cfap69,IFN_only
Ubxn1::Rnf139,IFN_only
Ubxn1::Tatdn1,IFN_only
Yme1l1::Tspan14,IFN_only
Zfp934::Morrbid,IFN_only
Zmat3::Arf2,IFN_only
Znrf3::Gm70758,IFN_only
1700018A04Rik::Mrpl27-ps,ctrl_only
Acer3::Rnf169,ctrl_only
Ankrd13c::Lrrc40,ctrl_only
Ankrd17::Gm9958,ctrl_only
Ankrd69::Smchd1,ctrl_only
Anxa1::Gm14614,ctrl_only
Arid2::Pde7b,ctrl_only
Armc8::Gm73718,ctrl_only
Arsj::Camk2d,ctrl_only
Arsk::Irag1,ctrl_only
Atp5k-ps4::Gm6728,ctrl_only
B230220B15Rik::Morrbid,ctrl_only
Bco2::Gm30662,ctrl_only
Bhlhe40::Gusb,ctrl_only
C030013E06Rik::Dus1l,ctrl_only
Ctnna2::Gm53768,ctrl_only
Def8::Pdgfa,ctrl_only
Def8::Tnnt2,ctrl_only
Dhx29::Tcerg1,ctrl_only
Dlg2::Rmnd5a,ctrl_only
Egln2::Snrpa,ctrl_only
Ezh2::Gm18584,ctrl_only
Fam91a1::Fer1l6,ctrl_only
